date,disease
2011-07-15,1
2012-02-07,1
2012-06-11,1
2013-01-20,1
2013-03-31,1
2013-07-23,1
2014-02-25,1
2014-08-09,1
2014-08-10,1
2014-08-26,1
2014-09-11,1
2014-12-08,1
2015-01-10,1
2015-01-23,1
2015-04-07,1
2015-07-06,1
2015-07-22,1
2015-10-24,1
2015-12-20,1
2016-01-18,1
2016-03-02,1
2016-03-19,1
2016-06-22,1
2016-08-22,1
2016-09-20,1
2016-09-23,1
2016-09-24,1
2016-10-05,1
2016-10-07,1
2016-12-23,1
2017-02-03,1
2017-02-16,1
2017-04-09,1
2017-04-25,1
2017-06-05,1
2017-07-20,1
2017-07-21,1
2017-08-29,1
2017-09-08,1
2017-09-23,1
2017-10-14,1
2017-10-26,1
2017-11-22,1
2017-12-16,1
2017-12-22,1
2018-01-07,1
2018-01-28,1
2018-03-18,1
2018-06-02,1
2018-07-26,1
2018-09-04,1
2018-11-09,1
2018-11-16,1
2019-01-09,1
2019-01-10,1
2019-01-13,1
2019-01-16,1
2019-01-17,1
2019-01-22,1
2019-01-24,1
2019-01-29,1
2019-01-30,3
2019-02-01,1
2019-02-07,3
2019-02-10,2
2019-02-11,2
2019-02-13,1
2019-02-16,2
2019-02-17,6
